*This text file currently contains adverse drug reactions (ADRs) for strong & moderate CYP3A4, 2D6, 2C19 and 2C9 substrates, 
with plan to slowly add other CYP isoform substrates' ADRs over time*


generic_drug_name,notes,cyp_type_and_cyp_strength_of_evidence,drug_class,adverse_drug_reactions,first_ref,second_ref,date_checked
naloxegol,n/a,s_3A4,peripheral_opioid_receptor_antagonists,"abdominal pain^^, possible_opioid_withdrawal_syndrome^, diarrhea^, hyperhidrosis^, headache^, nasopharyngitis^",drugs.com,emc,211124
oxycodone,n/a,s_3A4_s_2D6,opioid_analgesics,"headache^^, constipation^^, fever^^, dizziness^, serotonin_syndrome(pm), hyperalgesia(pm), allodynia(pm), pruritus^, hyperhidrosis^, rash^, dysuria^, urinary_retention^, anaphylaxis(pm), decreased_appetite^, hypoglycemia(pm), adrenal_insufficiency(pm), androgen_deficiency(pm)",drugs.com,nzf,211124
sirolimus,n/a,s_3A4,immunosuppressant,"hypertriglyceridemia^^, hypercholesterolemia^^, hypokalemia^^, hypophosphatemia^^, hyperglycemia^^, peripheral_edema^^, hypertension^^, chest pain^^, edema^^, lymphocele^^, constipation^^, abdominal_pain^^, diarrhea^^, dyspepsia^^, dyspnea^^, upper_RTI^^, pharyngitis^^, anemia^^, thrombocytopenia^^, blood_LDH_increased^^, blood_creatinine_increased^^, UTI^^, arthralgia^^, headache^^, rash^^, creatinine_increased^^, fever^^, pain^^, abnormal_healing^, diabetes_mellitus^, Venous_thromboembolism^, tachycardia^, stomatitis^, pneumonia^, epistaxis^, pleural_effusion^, thrombocytopenic_purpura/hemolytic_uremic_syndrome^, leukopenia^, neutropenia^, increased_AST^, increased_ALT^, pyelonephritis^, declining_renal_function_(with_long_term_cyclosporine)^, ovarian_cysts^, menstrual_disorders^, proteinuria^, azoospermia(pm), bone_necrosis^,osteonecrosis^, tremor^, insomnia^, herpes_zoster^, herpes_simplex^,skin_cancer^, lymphoma/post_transplant_lymphoproliferative_disorder^, sepsis^, pneumonia^, pyelonephritis^, fungal/viral/bacterial_infections^, mycobacterial_infections^, cytomegalovirus^, Epstein_Barr_virus^",drugs.com,nzf,231124
terfenadine,*,s_3A4,antihistamines,"dizziness^^, syncopal_episodes^^, palpitations^, ventricular_arrhythmias^^, cardiac_arrest^^, cardiac_death^^, headaches^",drugs.com,no_ref_available(withdrawn_from_market),231124
trazodone,n/a,s_3A4,phenylpiperazine_antidepressants,"drowsiness^^, dizziness^^, lightheadedness^^, headache^^, dry_mouth^^, hypertension^^, blurred_vision^^, nervousness^^, fatigue^^, decreased_concentration^, incoordination^, syncope^, tremor^, aphasia(pm), ataxia(pm), cerebrovascular_accident(pm), extrapyramidal_symptoms(pm), grand_mal_seizures(pm), state_of_unconsciousness(pm), tardive_dyskinesia(pm), abdominal_disorder^, constipation^, diarrhea^, gastric_disorder^, increased_amylase(pm), edema^, hypotension^, atrial_fibrillation(pm), cardiac_arrest(pm), cardiospasm(pm), conduction_block(pm), congestive_heart_failure(pm), myocardial_infarction(pm), vasodilation(pm), ventricular_ectopic_activity(pm), itching_eyes, diplopia(pm), confusion^, abnormal_dreams(pm), paranoid_reaction(pm), psychoses(pm), aches^, malaise^, pain^, unexplained_death(pm), weight_disturbance^, sinus_congestion^, apnea(pm), skin_condition^, alopecia(pm), hirsutism(pm), leuconychia(pm), psoriasis(pm), urticaria(pm), breast_engorgement(pm), breast_enlargement(pm), clitorism(pm), lactation(pm), urinary_incontinence(pm), urinary_retention(pm), cholestasis(pm), hyperbilirubinemia(pm), abnormal_LFT(pm), hemolytic_anemia(pm), leukocytosis(pm), methemoglobinemia(pm)",drugs.com,emc,280225
triazolam,n/a,s_3A4,benzodiazepines,"drowsiness^^, WBC_in_urinalysis^^, low_eosinophil_count^^, anterograde_amnesia_with_appropriate/inappropriate_behavior^, ataxia^, concentration_difficulty^, impaired_coordination^, dizziness^, headache^, impaired_equilibrium^, lethargy^, lightheadedness^, memory_impairment^, albuminuria^, RBC_in urinalysis^, high_eosinophil_count^, low_monocyte_count^, low/high_basophil_count^, low/high_lymphocyte_count^, low/high_neutrophil_count^, low/high_WBC_count^, high_bilirubin^, increased_ALP^, low/high_creatinine^, anxiety^, nervousness^, tiredness^, high_AST_levels^, anaphylactic_shock(pm), anaphylactoid_reaction(pm), allergic_edema(pm), angioneurotic_edema(pm), hypersensitivity_reactions(pm)",drugs.com,Drugs@FDA,280225
diazepam,n/a,m_3A4,benzodiazepines,"drowsiness^^, ataxia^, anterograde_amnesia^, disrupted_sensory_perception(ws)^, dizziness^, fatique^, general_malaise(ws)^, epileptic_attacks^, impaired_motor_ability^, tremor(ws)^, seizures^, dysarthria^, epileptic_attacks (ws)^, headache^, impaired_motor_ability^, incoordination^, speech_disorder^, vertigo^, aggression(ws)^, anxiety(ws)^, confusion^, delirium(ws)^, irritability(ws)^, panic(ws)^, paranoid_psychosis(ws)^, withdrawal_symptoms^, asthma^, hiccup^, rhinitis^, hypotension^, palpitations(ws)^, vasodilation^, muscle_spasms(ws)^, muscle_weakness^, GI_disorders(ws)^, loss_of_appetite(ws)^, sweating(ws)^, rash^, double_vision/diplopia(rectal)^",drugs.com,nzf,291124
hydrocortisone,n/a,m_3A4,corticosteroids,"hypothalamus_pituitary_adrenal_activity_suppression(dd), Cushingoid_appearance(dd), hirsutism(dd), impotence(dd), menstrual_irregularities(dd), peptic_ulcer_disease(dd), cataracts(dd), increased_intraocular_pressure/glaucoma(dd), myopathy(dd), osteoporosis(dd), vertebral_compression_fractures(dd), sodium_retention_related_weight_gain_and_fluid_accumulation(dd), hyperglycemia/glucose_intolerance(dd), hypokalemia(dd), psychic_disturbances(dd)",drugs.com,nzf,291124
lansoprazole,n/a,m_3A4,proton_pump_inhibitors,"abdominal_pain^, benign_fundic_gland_polyps^, constipation^, diarrhea^, dry_mouth^, stomach_ache^, itching^, pruritus^, rash^, urticaria^, fatal_toxic_epidermal_necrolysis(pm), dizziness^, headache^, taste_disturbance^, speech_disorder(pm), increased_liver_enzyme^, hepatotoxicity(pm), fatigue^, dry_throat^, myositis(pm), aplastic_anemia(pm), hemolytic_anemia(pm), thrombotic_thrombocytopenic_purpura(pm), anaphylactoid_reactions(pm)",drugs.com,nzf,291124
pantoprazole,n/a,m_3A4,proton_pump_inhibitors,"headache^^, taste_disturbance^^, nasopharyngitis^^, pharyngolaryngeal_pain^^, diarrhea^^, dizziness^, metallic/bitter_taste^, drowsiness^, ageusia(pm), taste_disturbance(pm), cough^, nasal_congestion^, pharyngitis^, abdominal_pain^, benign_fundic_gland_polyps^, buccal_inflammation^, constipation^, dry_mouth^, dyspepsia^, fecal_discoloration^, oral_thrush^, pruritus^, tongue_discoloration^, tongue_pain^, upper_abdominal_pain^, tiredness^, depression^, insomnia(pm), increased_liver_enzymes^, hepatocellular_damage(pm), rash^, chest_pain^, arthralgia^, rhabdomyolysis(pm), anorexia^, influenza_like_symptoms^, candidal_infection^, anaphylaxis(pm)",drugs.com,nzf,031224
lercanidipine,*,m_3A4,calcium_channel_blockers,"hypotension(pm), gingival_hypertrophy(pm), urinary_frequency(pm), chest_pain(pm), increased_liver_enzymes(pm)",drugs.com,drugs.com_uk_di,031224
naldemedine,n/a,m_3A4,peripheral_opioid_receptor_antagonists,"diarrhea^^, abdominal_pain^^, gastroenteritis^, bronchospasm(pm), rash(pm)",drugs.com,Drugs@FDA,061224
nelfinavir,n/a,m_3A4,antivirals,"diarrhea^^, decreased_lymphocytes^, decreased_neutrophils^, decreased_hemoglobin^, increased_AST^, increased_ALT^, jaundice(pm), bilirubinemia(pm), elevated_creatine_kinase^, rash^, QTc_prolongation(pm), torsades_de_pointes(pm), metabolic_acidosis(pm), new_onset_diabetes_mellitus(pm_HIV_pit), exacerbation_of_pre_existing_diabetes_mellitus(pm_HIV_pit), hyperglycemia(pm_HIV_pit), ketoacidosis(pm_HIV_pit), hypersensitivity_reactions(pm)",drugs.com,Drugs@FDA,061224
telaprevir,*,m_3A4,antivirals,"rash^^, pruritus^^, anemia^^, decreased_mean_platelet_counts^^, decreased_hemoglobin_levels^^, decreased_lymphocyte_counts^^, decreased_absolute_neutrophil_counts^^, elevated_uric_acid_levels^^, diarrhea^^, hemorrhoids^^, anorectal_discomfort^^, fatigue^^, elevated_bilirubin^^, taste_disturbance^^, severe_rash^, toxic_epidermal_necrolysis(pm), erythema_multiforme(pm), leukopenia^, pre_renal_azotemia(pm), uric_acid_nephropathy(pm)",drugs.com,Drugs@FDA,101224
ondansetron,n/a,m_3A4_s_2D6,antiemetics,"headache^^, drowsiness^^, wound_problem^^, fatigue^^, diarrhea^^, constipation^^, eye_disorder^^, dizziness^, paresthesia^, shivers^, fever^, cold_sensation^, xerostomia^, localized_anal/rectal_burning_sensation^, visual_disturbance/transient_visual_disturbances^, flushing^, bradycardia^, hypotension^, arrhythmias^, cardiopulmonary_arrest(pm), shock(pm), hypoxia^, lower_respiratory_tract_disease^, expectoration^, cough^, shortness_of_breath(pm), laryngeal_edema(pm), stridor(pm), laryngospasm(pm), agitation^, disturbance_in_behavior^, sleep_disturbance^, gynecological_disorder^, urinary_retention^, UTI^, rash^, pruritus^, increases_AST^, increased_ALT^, liver_failure_and_death(pm_hep_cyto), angioedema(pm)",drugs.com,nzf,101224
quinine,*,m_3A4,antimalarials,"cinchonism",drugs.com,nzf,111224
ribociclib,*,m_3A4,cyclin-dependent_kinase_inhibitors,"alopecia^^, rash^^, pruritus^^, diarrhea^^, constipation^^, abdominal_pain^^, stomatitis^^, dry_mouth^^, dyspepsia^^, UTI^^, decreased_lymphocytes^^, decreased_leukocytes^^, decreased_neutrophils^^, decreased_hemoglobin^^, neutropenia^^, leukopenia^^, decreased_platelets^^, anemia^^, lymphopenia^^, thrombocytopenia^^, increased_ALT^^, increased_AST^^, increased_GGT^^, hepatobiliary_toxicity^^, decreased_blood_glucose^^, decreased_appetite^^, arthralgia^^, back_pain^^, pain_in_extremities^^, headache^^, dizziness^^, increased_lacrimation^^, infections^^, fatigue^^, decreased_phosphorus^^, fever^^, peripheral_edema^^, malaise^^, hypokalemia^^, decreased_albumin^^, insomnia^^, increased_creatinine^^, cough^^, dyspnea^^, QT_prolongation^, vitiligo^, erythema^, Stevens_Johnson_syndrome(pm), toxic_epidermal_necrolysis(pm), drug_induced_hypersensitivity_syndrome/drug_reaction_with_eosinophilia_and_systemic_symptoms(pm), febrile_neutropenia^, drug-induced_liver_injury^, increased_blood_bilirubin^, hepatotoxicity^, hypocalcemia^, hypomagnesemia^, hypophosphatemia^, taste_disturbance^, vertigo^, syncope^ dry_eye^, on-treatment_deaths^, oropharyngeal_pain^, COVID-19^, pneumonia^, interstitial_lung disease/pneumonitis^(pm)",drugs.com,nzf,111224
suvorexant,n/a,m_3A4,orexin_receptor_antagonists/hypnotics,"diarrhea^, dry_mouth^, headache^, drowsiness^, dizziness^, abnormal_dreams^, cough^, upper_RTI^, palpitations(pm), tachycardia(pm), psychomotor_hyperactivity(pm), anxiety(pm), pruritus(pm)",drugs.com,Drugs@FDA,121224
telithromycin,n/a,m_3A4,ketolides,"diarrhea^^, increased_liver_enzymes^, hepatic_dysfunction(pm), fulminant_hepatitis(pm), hepatic_necrosis(pm), hepatic_failure(pm), severe_hepatitis(pm), GI_pain^, pancreatitis(pm), headache^, dizziness^, taste_disturbance, loss_of_consciousness(pm), exacerbation_of_myasthenia_gravis(pm), tremors(pm), seizures(pm), smell_perversion(pm), ageusia(pm), anosmia(pm), hearing_loss(pm), dyspnea(pm), vaginal_candidiasis^, chromaturia(pm), QT_prolongation(pm), ventricular_arrhythmias(pm), ischemic_cardiac_events(pm), angioneurotic_edema(pm), confusion(pm), visual_hallucinations(pm), arthralgia(pm), myalgia(pm), severe_allergic_reactions(pm), anaphylactic_reactions(pm), hypersensitivity(pm), face_edema(pm)",drugs.com,Drugs@FDA,121224
temsirolimus,n/a,m_3A4,MTOR_inhibitors,"increased_AST^^, bacterial_and_viral_infections^^, dyspnea^^, cough^^, epistaxis^^, pharyngitis^^, pneumonia^^, rhinitis^^, increased_creatinine^^, decreased_hemoglobin^^, decreased_lymphocytes^^, anemia^^, decreased_platelets^^, decreased_leukocytes^^, thrombocytopenia^^, decreased_neutrophils^^, neutropenia^^, chest_pain^^, rash^^, pruritus^^, nail_disorder^^, malaise^^, fatigue^^, edema^^, pyrexia^^, pain^^, hyperglycemia^^, mucositis^^, diarrhea^^, abdominal_pain^^, constipation^^, unspecified_urogenital_adverse_reaction^^, UTI^^, increased_total_cholesterol^^, increased_triglycerides^^, increased_ALP^^, hypophosphatemia^^, hypocalcemia^^, decreased_appetite^^, anorexia^^, hyperlipidemia^^, hypokalemia^^, weight_loss^^, hypercholesterolemia^^, hypertriglyceridemia^^, increased_LDH^^, back_pain^^, arthralgia^^, muscle_cramp^^, taste_disturbance^^, headache^^, insomnia^^, increased_total_bilirubin^, increased_ALT^, sepsis^, candidiasis^, fungal_infection^, flu_syndrome^, hypersensitivity_reactions^, upper_RTI^, pleural_effusion^, sinusitis^, interstitial_lung_disease/pneumonitis^, pneumocystis_jiroveci_pneumonia(pm), renal_failure^, leukopenia^, lymphopenia^, hypertension^, venous_thromboembolism^, thrombophlebitis^, pericardial_effusion^, folliculitis^, ecchymosis^, Stevens_Johnson_syndrome(pm), wound_infection/post_operative_wound_infection^, impaired_wound_healing^, angioneurotic_edema_type_reactions(pm), extravasations(pm), diabetes_mellitus^, bowel_perforation^, GI_hemorrhage^, rectal_hemorrhage^, gastritis^, dysphagia^, abdominal_distension^, oral_pain^, gingivitis^, oral_thrush^, hemorrhoidal_hemorrhage^, dehydration^, myalgia^, rhabdomyolysis(pm), dizziness^, paresthesia^, drowsiness^, seizures^, complex_regional_pain_syndrome(pm), conjunctivitis^, depression^, anxiety^",drugs.com,Drugs@FDA,131224
carvedilol,n/a,s_2D6,beta_blockers,"chest_pain^^, hypotension^^, cardiac_failure^^, fatigue^^, malaise^^, upper_RTI^^, bradycardia(dose_dependent)^, edema^, hypervolemia^, postural_hypotension^, hypertension^, syncope^, disturbances_of_peripheral_circulation^, diarrhea^, dyspepsia^, abdominal_pain^, melena^, periodontitis^, UTI^, micturition_disorders^, hematuria^, urinary_incontinence_in_women(pm), weight_increase^, hypercholesterolemia^, impaired_blood_glucose_control(pre_existing_diabetes)^, gout^, BUN_increased^, dehydration^, hypervolemia^, anemia^, purpura^, prothrombin_decrease^, pain_in_extremities^, back_pain^, arthralgia^, myalgia^, dizziness(dose_dependent)^, headache^, hyperesthesia^, vertigo^, visual_impairment^, abnormal_vision(dose_dependent)^, blurred_vision^, lacrimation_decreased^, eye_irritation^, pain^, malaise^, fever^, depression^, drowsiness^, renal_failure_and_renal_function_abnormalities^, albuminuria^, bronchitis^, pneumonia^, dyspnea^, pulmonary_edema^, asthma^, sinusitis^, pharyngitis^, rhinitis^, cough^, rales^",drugs.com,nzf,130225
chlorpheniramine,n/a,s_2D6,antihistamines,"drowsiness^^, disturbance_in_attention^, abnormal_coordination^, dizziness^, headache^, blurred_vision^, dry_mouth^, fatigue^",drugs.com,nzf,140225
doxepin,n/a,s_2D6_m_2C19_m_2C9,tricyclic_antidepressants,"drowsiness^, hypoesthesia(pm), taste_disturbance(pm), dry_mouth^, constipation^, hypertension^, arrhythmia(pm), conduction_disorder(pm),  gastroenteritis^, tongue_edema(pm), upper_abdominal_pain(pm), upper_RTI^, malaise(pm)",drugs.com,emc,140225
nortriptyline,*,s_2D6,tricyclic_antidepressants,"dry_mouth, blurred_vision, constipation, urinary_retention, anxiety, dizziness, agitation, confusion, sleep_disturbances, irritability, paraesthesia, drowsiness, changes_in_blood_glucose, increased_appetite, weight_gain, anorexia, weight_loss, hyponatraemia, taste_disturbance, tinnitus, urticaria, pruritus, alopecia, galactorrhoea, gynaecomastia, Brugada_syndrome(pm), angle_closure_glaucoma(pm)",nzf,drugs.com,170225
perhexiline,*,s_2D6,antianginals,"dizziness^^, headache^^, ataxia^^, weight_loss^^, hepatoxicity^, peripheral_neuropathy^, weakness^, tremors^, fainting^, hypoglycaemia^, hyperlipidaemia^, QT_prolongation^", nzf,data_sheet,190225
tetrabenzine,n/a,s_2D6,movement_disorder_agent,"extrapyramidal_symptoms^^, drowsiness^^, akathisia^^, parkinsonism^^, fatigue^^, fall^^, insomnia^^, depression^^, anxiety^^, upper_RTI^^, balance_difficulty^, dizziness^, dysarthria^, unsteady_gait^, headache^, tremor(pm), head_laceration^, irritability^, obsessive_reaction^, agitation^, confusion^, worsening_aggression(pm), dysphagia_choking_attacks^, constipation^, diarrhea^, shortness_of_breath^, bronchitis^, pneumonia(pm), hypotension^, ecchymosis^, hyperhidrosis(pm), rash(pm), dysuria^, decreased_appetite^",drugs.com,nzf,190225
tramadol,n/a,s_2D6,opioid_analgesics,"nervousness^^, anxiety^^, agitation^^, tremor^^, spasticity^^, euphoria^^, emotional_lability^^, hallucinations^^, constipation^^, dyspepsia^^, dizziness^^, drowsiness^^, headache^^, pruritus^^, flushing^^, malaise^^, anxiety^, euphoria^, nervousness^, sleep_disorder^, insomnia^, depression^, agitation^, apathy^, dry_mouth^, diarrhea^, abdominal_pain^, sore_throat^, gastroenteritis^, confusion^, coordination_disturbance^, tremor^, paresthesia^, hypoesthesia^, seizures(pm), serotonin_syndrome(pm), sweating^, dermatitis^, menopausal_symptoms^, urinary_frequency^, urinary_retention^, UTI^, vasodilation^, postural_hypotension^, chest_pain^, QT_prolongation(pm), malaise^, weakness^, pain^, influenza_like_illness^, rigors^, fever^, anorexia^, weight_loss^, hyperglycemia^, hyponatremia(pm), adrenal_insufficiency(pm), androgen_deficiency(pm), miosis^, visual_disturbance^, blurred_vision^, hypertonia^, arthralgia^, back_pain^, limb_pain^, neck_pain^, muscle_cramps^, respiratory_depression(dose-dependent)^, joint_stiffness^, muscle_twitching^, myalgia^, aggravated_osteoarthritis^",drugs.com,nzf,200225
